plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1', 'GPT_4_1', 'GPT_4_1_MINI')",0.2547747170738253,1.0,0.6
"('GPT_4_1_MINI', 'GPT_4_1_MINI', 'GPT_5')",0.3596703890501958,1.0,0.7
"('GPT_4_1_MINI', 'o4_MINI', 'GPT_4o_MINI')",0.4596703890501958,0.3333333333333333,0.7
"('GPT_4o_MINI', 'GPT_5', 'GPT_4o_MINI')",0.6162376337573188,1.0,0.7
"('GPT_4_1', 'GPT_5_MINI', 'GPT_4o_MINI')",0.2519064422076278,1.0,0.7
"('GPT_5_MINI', 'GPT_4_1', 'GPT_5_NANO')",0.5021824856907414,1.0,0.6
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_5_NANO')",0.4984571797296359,1.0,0.7
"('GPT_4_1_MINI', 'GPT_4_1_MINI', 'o4_MINI')",0.3596703890501958,0.8571428571428571,0.7
"('GPT_5_MINI', 'GPT_4_1_MINI', 'GPT_4_1_MINI')",0.434988499987577,1.0,0.6
"('GPT_5', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.5394705675152764,0.5,0.6
"('GPT_4_1', 'GPT_4_1_NANO', 'GPT_4o_MINI')",0.2553548765730321,0.875,0.7
"('GPT_5_NANO', 'GPT_4o', 'GPT_5_MINI')",0.6388267165936201,1.0,0.6
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_4o')",0.3556625421822272,0.75,0.7
"('GPT_5_MINI', 'GPT_4o', 'GPT_4o')",0.6047615273724739,0.6,0.6
"('GPT_4o', 'GPT_5_MINI', 'GPT_4o')",0.7487826950667696,0.75,0.8
"('GPT_5_NANO', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.5440881675377276,0.75,0.7
"('o4_MINI', 'GPT_5_MINI', 'o4_MINI')",0.6202882483370289,0.5,0.6
